BaseID	Medical care	Hotel	Business affairs	Life service	Transportation hub	Culture	Sports	Residence	Entertainment and leisure	Scenic spot	Government	Factory	Shopping	Restaurant	Education	Landmark	Other
0	1	3	4	1	0	0	0	54	0	0	1	0	6	6	2	0	4
1	0	0	0	0	0	0	0	27	0	0	1	0	0	0	1	2	0
2	0	0	12	0	1	0	0	3	0	0	1	0	1	0	0	0	0
3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	4	0	3	0	0	0	1	0	0	0
5	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
7	0	0	6	0	1	2	0	0	0	1	3	0	3	0	9	0	0
8	0	1	3	0	0	0	0	17	0	0	1	0	1	0	0	0	3
9	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0
10	0	2	2	0	0	0	0	6	0	0	2	0	0	0	0	0	0
11	0	0	18	2	0	0	0	0	2	0	0	0	2	0	0	0	0
12	0	2	20	2	0	0	0	0	4	0	0	0	0	0	0	0	0
13	0	0	4	0	0	0	0	23	0	0	4	0	6	6	0	1	2
14	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
15	0	1	0	2	0	1	0	3	0	0	1	1	2	1	1	0	1
16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
17	0	0	1	0	0	0	1	2	0	0	2	0	2	1	2	0	0
18	0	0	0	0	0	1	0	9	0	0	1	0	2	0	0	0	0
19	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0
20	1	2	12	0	0	0	2	49	2	0	5	0	7	6	3	0	9
21	2	4	7	1	0	1	0	30	1	0	5	0	7	3	1	0	3
22	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0
23	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	1	1	0	0	0	5	0	0	0	0	3	1	0	0	0
26	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	1
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
28	0	0	6	0	0	0	2	20	0	0	0	0	0	0	5	0	2
29	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0
30	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	1
31	0	0	2	0	1	1	1	3	0	0	0	0	0	0	6	0	1
32	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
33	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	2
34	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
35	0	0	2	0	0	0	0	9	0	0	1	0	2	0	0	0	1
36	0	0	1	0	0	0	2	4	1	0	0	0	8	22	2	0	0
37	0	1	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0
38	0	1	3	0	0	0	0	17	1	2	3	0	2	0	0	0	1
39	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0
40	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
41	0	0	2	0	0	0	0	8	0	0	2	0	0	0	0	0	0
42	0	4	13	8	0	2	5	10	7	0	8	0	12	8	2	0	0
43	2	11	35	26	0	0	4	19	23	2	10	0	52	96	5	0	2
44	0	0	9	4	0	0	0	15	1	0	2	0	9	2	2	0	0
45	0	2	3	0	0	0	2	2	0	0	0	0	1	0	1	0	0
46	4	0	8	11	0	0	10	8	4	0	0	0	2	27	0	0	0
47	0	1	2	1	0	0	0	44	1	0	0	0	8	1	2	0	0
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
50	2	2	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	5	5	8	7	1	1	0	74	3	0	7	0	17	10	4	3	10
53	2	5	3	1	0	0	4	66	0	0	1	0	9	1	8	1	3
54	1	2	4	4	0	0	0	2	0	0	12	0	1	1	1	1	5
55	1	2	2	1	0	0	0	5	1	0	0	0	4	1	5	0	2
56	1	0	0	1	0	0	0	4	0	0	0	0	1	0	1	0	1
57	4	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0
59	0	0	0	1	0	0	1	9	0	4	0	0	1	0	1	0	0
60	0	0	2	2	0	0	0	3	0	0	1	0	3	0	0	0	0
61	0	0	5	5	0	0	3	15	1	0	2	0	7	4	5	0	1
62	0	0	2	0	0	0	0	11	0	0	0	1	2	2	1	0	0
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
65	0	1	4	0	0	0	2	3	0	0	0	0	0	0	0	0	0
66	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	1	0	5	1	0	3	3	10	1	0	1	0	7	1	1	0	5
68	0	2	18	1	0	1	0	1	0	0	4	1	0	2	0	0	2
69	0	0	6	0	0	0	1	16	0	0	1	0	4	0	0	0	0
70	0	8	3	2	0	0	0	39	0	0	8	0	4	11	2	0	7
71	3	1	15	2	0	0	0	31	0	0	4	3	1	0	3	0	1
72	1	1	0	0	0	0	1	10	0	0	0	0	1	0	0	0	0
73	0	0	4	0	0	2	1	7	0	0	3	0	3	1	2	0	2
74	0	0	0	0	0	0	3	26	0	0	1	0	3	3	0	0	3
75	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
76	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
77	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0
78	0	2	0	0	0	0	0	7	0	0	2	0	4	4	0	0	2
